return_period,frequency,displacement_low,displacement_med,displacement_high
2,0.5,822077.9985473077,666698.474657495,481544.1645240752
5,0.2,2291444.33074088,1867059.7501277723,1345190.8925675354
10,0.1,3525953.052386049,2823391.560596162,2009764.4505480034
25,0.04,5678443.626223339,4675372.348647761,3277442.874861262
50,0.02,8065133.926586617,6633136.945498809,4795886.609792453
100,0.01,10287962.080004936,8526896.784415053,6222500.342886422
250,0.004,13488895.030192213,11564870.621732755,8261108.012048225
500,0.002,16655810.391511828,14417781.872728175,10230622.47076038
1000,0.001,19603180.768691637,17333300.153143156,12124353.683268327
AED,,1820113.5967136344,1486475.290499486,1065657.187122491
