admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,1282.9187171146577,8596.988364744013,21096.37906975462,53788.619458949135,130901.5567491539,207515.4061584601,294908.33097006305,350754.9148446558,398712.53890763066,13595.080605884434
Barisal,34089.30580156744,72899.13051695556,115420.46131551858,207583.40632049553,284494.6851939743,365146.5236970577,489557.4747764779,581565.0896925211,684614.4143787333,64617.19482226626
Bhola,1033.1615692008465,15217.09198625523,36197.33651849638,95405.4186224829,184633.29780208127,308933.66601170175,484382.75665580516,625973.656711823,755488.4409782285,21722.91897578416
Jhalokati,2118.3184806216987,8390.628821073326,11591.586272712018,55918.10791841333,130879.89313113253,179958.29842859908,233507.34243706058,254613.3258303229,280301.36252220185,12273.90617937298
Patuakhali,14988.842108918396,29716.805474253546,71405.03725045834,228235.06459041432,357645.608013182,470388.1110044006,605881.5614559882,672353.7490455252,734892.1181284568,46067.607590323416
Pirojpur,11704.588067954945,38060.06371667004,66718.97228266548,158281.3761465799,271798.22173186333,363011.54186304513,436756.46503875265,478342.5417896845,508919.4758745962,38746.16932431791
Noakhali,378.64703420970375,7620.71002052742,21432.657252968278,53549.810723326795,96198.08895365149,136159.1667964479,198427.1181239345,228436.39243782574,272134.680952078,10806.993060801213
Rangamati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandarban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahamanbaria,0.0,13006.542520369456,20715.815221736248,45408.01417537018,87980.01591362462,122315.2269986001,196299.38909206606,270773.50096915936,353116.89551860665,11151.824635346007
Chandpur,8120.859541371048,19014.43325548082,29715.678658527733,44282.69864786372,52464.334316586275,72086.10189679543,107042.75265883803,143561.25309206513,186485.62518278402,15278.119080850958
Chittagong,2051.434045281501,7360.3990811352505,90764.21718619786,175562.18123466353,287290.966556186,437993.7487398111,652378.3330670712,792890.9824869353,952356.4242568178,33870.11434689493
Comilla,0.0,12842.48816329497,17974.076724173447,25389.764371589357,38463.72378869319,62919.23085916473,111401.92447759557,147491.7065045951,176040.8955948588,7696.594670819854
Cox'S Bazar,727.6921190404166,14797.145467258824,90745.15038242721,208814.45660715929,279873.5368960089,351890.699081247,442668.91964980913,497974.5284484341,538842.3582624889,33172.21327799231
Feni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.503461483120918,963.1642563903176,0.9701711793565595
Khagrachhari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshmipur,352.2267480475017,1170.7537714317634,1546.7741521062787,1784.5659639233763,3830.1366926523406,17119.394399459943,35702.87535508972,54003.603972335,93669.32195417292,1228.6088912445143
Narayanganj,0.0,22722.35447919759,38025.041726231306,66325.47177372723,102434.46694763158,150683.01319967778,241376.73765949867,469818.48971426545,656465.8786664229,17117.123219094097
Narsingdi,0.0,13051.12254869653,24879.79152419821,40343.81506228279,62836.00911652818,83591.67895904036,132371.86324954752,184086.9149452769,235362.14790243315,9937.616667362581
Rajbari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shariatpur,8793.828468556223,11258.538787508205,13686.860975037845,18697.03279421543,29384.81804415362,39563.312022460115,59826.083387401326,97386.80379809227,139067.1337720686,10321.663957077686
Tangail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhaka,2737.232885215786,2885.3850764874205,21762.131117169276,29245.566007835998,277988.69162613095,382820.4946252686,463783.9000978687,775119.2431828743,1009035.2825445414,19094.117358012816
Faridpur,23053.34083555401,24032.962087876105,25941.531774105537,30636.770775171757,32925.26476868184,38280.61780780244,40920.314161704344,47058.259533666656,56137.991680888095,21508.13408461635
Gazipur,0.0,0.0,0.0,0.0,6149.652281696572,14041.38374045949,33585.99297036598,77250.10825180306,101132.07653773649,653.3831479613328
Gopalganj,0.0,5239.724714443345,22082.56665822774,79406.64229942136,123477.51348129113,163818.68947538425,235263.35595199812,274091.84065049246,304494.541716083,12333.936111893025
Kishoreganj,0.0,3477.589922147904,5949.788545909217,9337.05051759646,21469.59766070899,50886.55094036088,91021.12590831588,155013.13314998776,225424.87056454708,3501.771962839936
Madaripur,26630.63758698136,28867.477785548195,50153.744256393744,59673.80287430668,74801.13200166733,90170.6597623018,130432.52439140972,173117.82150923973,224276.09731551865,29981.111966767967
Manikganj,9369.53997781341,9369.53997781341,9607.44653140424,9928.797205018258,10016.630399369245,10016.630399369245,13841.525282114928,17948.234969443136,25768.074570200686,8334.104083429167
Munshiganj,3705.7399729768426,32134.03252714161,41359.96637524256,49475.236838717916,69938.95387043865,103559.99073202816,168328.29736308398,228515.75291829943,291634.9899219906,18251.041272929695
Satkhira,154528.01787155317,370698.30863972194,414568.5893708396,510467.86817703035,576297.7801142231,627751.128675131,683746.3063714497,710354.7756199047,741526.2004867311,235979.9321941343
Bagerhat,11826.841456890606,83429.77156070886,168498.02289183746,313933.0655692909,390545.34513082716,445582.1226471873,525402.6817460585,575964.0199796953,616552.6557910389,68143.31950436554
Chuadanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessore,0.0,2081.6681805374837,3538.9386495958074,11131.0521647161,17788.64011798234,29968.69497113094,53365.401867558096,71618.29033386716,89408.6500919647,2317.0361779566097
Jhenaidah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khulna,98083.79319695756,381665.8762187763,436334.51153296913,516586.6199596953,594246.7302424418,670793.7992508978,793647.1221975139,883673.1633506404,936465.8698019469,214143.26107656988
Kushtia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.162896364845,0.537162896364845
Meherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narail,0.0,13577.732478307975,32124.83919787121,62361.46187331307,76273.35294398066,95579.4176300403,124392.11910537264,152177.64029697623,178487.9697613442,11884.161852338044
Bogra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joypurhat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naogaon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nawabganj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pabna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajshahi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirajganj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaibandha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lalmonirhat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nilphamari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panchagarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thakurgaon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habiganj,0.0,0.0,0.0,66.30365765129565,175.9792693360023,199.80330563454365,3928.2492328878548,8970.496902531759,19762.109120370253,61.585864606102504
Maulvibazar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunamganj,0.0,0.0,0.0,0.0,0.0,105.911911529838,37351.72982595058,73473.98093142288,143761.11842883084,441.17511871077727
Sylhet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netrakona,0.0,0.0,0.0,0.0,0.0,581.2063592153186,4733.86070091484,19375.981684225495,53935.59185701355,117.43506162127709
Sherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamalpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
