admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,2511.6977397886917,22755.069070140464,38602.723646638806,124724.22049630385,237534.22072670978,346124.6928565916,482046.27170402714,572251.7653826196,622612.9824973103,26563.336811617246
Barisal,64900.77464024083,122943.00595736352,210247.3479988266,347752.5090126365,483040.4914683634,608038.7282500074,793552.2617673554,947333.3838923436,1099297.9983701752,113883.19459707287
Bhola,9448.045300582016,36236.59504180431,70687.19954487549,183778.96833454474,354695.91015959566,537120.5009169087,818502.0771471276,1033661.9137918333,1169858.1669117657,45367.53386196614
Jhalokati,3256.937782586312,13227.392372234874,29690.283164286888,124104.99796736112,215653.22199943647,300356.7680648611,371123.1434240062,403394.9080618825,441384.9318897472,22256.475043210143
Patuakhali,27698.37105585612,58868.81123473392,168419.33563003608,398184.85089949577,608136.7343130071,782514.1679509134,966091.7166811177,1079434.5316061631,1139837.014262976,85543.22468382733
Pirojpur,17368.05086304728,66401.6352649938,134482.76502345048,298717.2527335661,455634.82878229435,582634.3558607936,700699.8052615359,746823.8370317497,792192.3294342767,67388.99845500784
Noakhali,689.4721325497093,21902.431902406755,46297.88720829579,115114.15357876335,168123.8195444967,245067.0962061244,314514.56032258214,386238.8740486858,430072.66176127887,22233.333314836476
Rangamati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandarban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahamanbaria,0.0,20134.129118677974,39588.56875779476,92145.56369223671,139601.36947241772,220065.82110907874,324403.56507300294,461100.9568419295,624037.6722786397,19508.044693998192
Chandpur,12956.765836228658,36940.70924200605,50634.936694511285,68623.75064648424,92079.88146524134,122582.86981333166,179313.08956277772,235836.6204160418,305420.73907871364,26236.741127426085
Chittagong,5677.254048908023,16378.375747118685,178081.4299946817,357282.62080054026,536076.1228068062,746348.2880619171,1089872.3371780845,1320099.2141636913,1558660.2746230613,64957.10339378562
Comilla,0.0,22011.459263607063,31183.882208220275,46541.787353401916,75768.28562047718,118683.5110804157,185214.67272810967,241294.16737165474,292692.99143530213,13600.692407984268
Cox'S Bazar,1560.7723007970144,43181.4598858284,185650.51240600029,354496.75653546734,469863.2850876995,561017.9442051615,718933.1348360449,779881.5292597703,845302.679540182,62449.84305079242
Feni,0.0,0.0,0.0,0.0,0.0,0.0,3.503461483120918,333.0796063626721,4163.490630690632,4.84366368934846
Khagrachhari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshmipur,1116.4218251484544,1819.256269719461,2418.885775967906,4356.812927813883,10382.036919198814,30394.409715063106,66292.99001551875,113350.19786912126,167805.52306495715,2509.485975627347
Narayanganj,0.0,47314.55685412177,68870.74898477596,122183.47462537554,182742.3486804761,270898.1387641047,456423.30894866114,796078.754548642,1130708.7720097196,32149.71313246919
Narsingdi,0.0,24626.843869459724,38850.99490985761,72724.57976138098,101922.57510572106,144116.51823983892,221641.02298701674,316206.5656199734,394220.5090876769,17112.265872121447
Rajbari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shariatpur,14036.573797057694,18618.913083529234,22232.364194866444,35674.215993468366,49946.29076313673,66862.31451032538,110555.17283299388,168685.81973242573,248238.05485062418,17087.653920473513
Tangail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhaka,4003.3262755843243,4522.577129168813,26739.223360641707,67958.83516316215,477629.0687836021,611311.8750967577,762751.5243319965,1350417.9618290102,1695683.164883478,31411.679618725684
Faridpur,36035.82313901711,38826.93716846417,40681.69354778933,46725.85665385965,53382.61632512736,56927.55965827773,63618.98662128193,72949.6281345786,96444.17605919865,33854.249926033524
Gazipur,0.0,0.0,0.0,0.0,15766.914098235982,34889.75539290779,61688.653036883734,121516.85073520767,170203.45407117408,1324.2276035829218
Gopalganj,0.0,15620.440214949356,51864.856042186606,139779.89852272175,207973.8231750271,291999.85153164674,378703.3158408179,436210.096802773,484425.58396724897,23852.903607870478
Kishoreganj,0.0,5243.9041885680335,9834.483233010149,19094.17222563862,47219.228007481826,90097.6566070069,181395.20532796293,265136.60884899925,413681.47833828296,6310.892693608006
Madaripur,42756.54352048086,44625.761843184984,80750.42715100624,98293.6698788041,119919.30559925445,147446.5183094009,216347.03703291478,291801.1511240537,370845.0942125149,48002.90047880159
Manikganj,14641.897456098826,14836.572224885642,14836.572224885642,14836.572224885642,14836.572224885642,14836.572224885642,23005.446581094806,29418.40252669621,38232.258758873075,12999.571301393746
Munshiganj,5782.377984926203,45373.97924873511,64961.8401158803,90447.29550179958,124020.67127263948,184663.4013497998,286539.78153607104,379186.1760506594,487482.36195558455,28799.121953022113
Satkhira,255264.9899277013,586516.9646408968,673976.946636598,804993.7676239393,898588.7688236199,968226.0213782557,1040171.8062384522,1092296.2897739036,1126828.0134954033,379659.4766688993
Bagerhat,25029.536718002346,179926.92245840558,307032.7462002801,510318.2253879316,630583.9023044078,722801.4038671417,829415.1930500556,900855.421824226,954530.4800895624,125529.75066692539
