admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,1614.842227002871,11198.074064552575,28594.177933282757,84441.44034543194,178360.9594526731,257147.34506036455,392810.9307967254,488740.144286731,570453.7417769312,18541.981726751903
Barisal,44681.14880817755,95813.97443181134,160131.9994869849,291236.53757175914,391466.4226984614,514151.0614316129,678465.8356647224,827370.0894164449,976660.4703478877,87482.13380214492
Bhola,4638.25191672922,24429.924995740454,45073.809404736465,134617.912248679,254506.88788956142,405164.35055324336,641244.7343628852,863052.1086542188,1030679.3582293452,31560.752164246496
Jhalokati,2118.3184806216987,11484.65638453893,18031.88500487057,87025.20450892382,163113.351993042,229892.76254171866,314882.4643002681,364322.5407387643,409158.25268812326,16598.815054707396
Patuakhali,20737.440530187385,42991.23799509837,117878.5279098674,299914.86309182056,460643.9835152494,628761.7722595826,841619.1607605125,966808.0743955728,1071678.126730384,64623.683490237316
Pirojpur,14589.442620722724,54364.65769878866,92164.75833970998,232789.5839111056,360596.0778381008,471205.5347275834,604775.0163177071,688171.2039741895,746192.684013287,53161.32410180466
Noakhali,460.4411490592605,14108.691694400284,32227.54525231942,81300.82563079234,124911.0406679182,181752.68026484252,248831.82201321927,311405.82259750715,368034.9304482155,15828.667943576218
Rangamati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandarban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahamanbaria,0.0,17204.860170883276,30432.583830627762,69281.22593810895,117392.66364689653,161231.91355287487,275864.9699959814,372953.8679312495,496927.2336191169,15561.946712696012
Chandpur,12324.78873306732,26951.210612327148,43387.24088741836,57599.49531406153,74532.98226314374,101956.65362291994,148033.68581973022,196104.99751674844,256944.96047860564,21946.85627058649
Chittagong,3162.8522161069427,11846.459268833241,129073.0879188087,268244.9943715091,408962.3090795358,573617.8857326364,899104.4836922965,1105304.1210675437,1345990.3361677749,48656.26808055048
