return_period,frequency,displacement_low,displacement_med,displacement_high
2,0.5,0.0,0.0,0.0
5,0.2,1291631.786265108,1011105.8888055708,682158.8305378876
10,0.1,2172145.335196008,1594787.747236641,1224268.6782070778
25,0.04,4246278.477937108,2604609.9931184296,1895892.6737244362
50,0.02,6083105.466952415,3617706.176487823,2324438.9978364483
100,0.01,8526230.221884895,5922603.249275138,3123251.9461579155
250,0.004,10288398.50259735,8451749.731368348,5419664.044943431
500,0.002,11513488.30047404,9710770.40240965,6708774.564362111
1000,0.001,13127839.884350227,10848022.209368018,8067217.2580593545
AED,,929624.8519436916,661541.0701716841,455579.0628621282
