admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,0.0,0.0,0.0,0.0,0.0,0.0,8.330751541811377,8.330751541811377,8.330751541811377,0.058315260792679645
Barisal,0.0,0.0,0.0,31684.012684509267,42103.84153014416,42880.473287668945,47051.683909546235,49861.462839024636,56672.95038539744,2882.844682561575
Bhola,0.0,0.0,0.0,17370.9624387886,22070.547783161946,22070.547783161946,32436.14141454598,36952.4348833092,36952.4348833092,1597.5568013545142
Jhalokati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patuakhali,0.0,0.0,0.0,1438.531452451365,1809.4243832579716,1809.4243832579716,18624.062460216654,18624.062460216654,18624.062460216654,242.19242681731032
Pirojpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noakhali,0.0,0.0,0.0,0.0,0.0,0.0,3906.7315810938107,6231.848811862101,8329.733981273244,36.42035792937269
Rangamati,0.0,0.0,61092.08474779435,82846.46449046243,86123.78581360583,95836.96740142215,106808.15324324892,119696.20002744813,125011.298224355,12895.548755936517
Bandarban,0.0,0.0,0.0,0.0,0.0,3844.100875544062,4569.533609296568,5581.767755155023,7117.965931849462,75.00064463478641
Brahamanbaria,0.0,45787.20193010349,86161.69063079971,122992.34404100939,144870.30850869484,181406.75131196654,240667.5492438418,290748.1600687737,334256.78345804464,29283.200194605568
Chandpur,0.0,24161.27492722297,29718.870425169163,42830.78307870086,49071.55350117805,49542.31024225626,56773.511353104564,60365.432290335106,70504.66551957536,11412.557099068332
Chittagong,0.0,301993.6302006425,419395.51293540787,517077.26296552987,597937.6403729594,808739.2132446067,928479.8916220577,1305464.8279184676,1406988.4565932737,150799.35047111416
Comilla,0.0,16420.31171715615,21598.64959572133,21639.999431620414,22979.769922845306,23942.708978173265,91749.13105457278,126336.63853209907,146448.96023352526,7774.668530022833
Cox'S Bazar,0.0,0.0,0.0,0.0,0.0,983.3894764363783,983.3894764363783,983.3894764363783,1251.586894284162,16.985818517266214
Feni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162050.448192743,178423.80959286427,502.5247059783503
Khagrachhari,0.0,0.0,45155.24278823158,59533.11832609938,63891.96839850114,65058.22861194137,66949.5092188095,72567.27696395812,73916.11050279884,9312.119367262523
Lakshmipur,0.0,0.0,0.0,1855.3932138645541,2328.095819056986,2328.095819056986,2328.095819056986,2328.095819056986,2328.095819056986,160.35527385969064
Narayanganj,0.0,2802.5068188128903,3566.081648224241,8901.123536847463,12841.16875162648,14504.848309975552,333531.1936473099,371027.4454522988,417850.7650655113,4169.056758750534
Narsingdi,0.0,23211.56674984776,35629.752896937185,45472.97590974142,63584.28310887448,75350.10251390905,159823.247037215,194660.2351059697,218225.75401402454,13296.233575744332
Rajbari,0.0,833.3494201839424,2176.2861837252553,8273.341050913335,15366.339267671297,22254.569187388584,27564.18977206135,32776.304579943724,37195.28696147492,1458.109276882767
Shariatpur,0.0,20199.134179732344,20854.510113577282,25965.603582798096,27643.63855846836,28187.106453040113,29182.060067005783,31837.599913245584,33381.960735602144,8212.431227146006
Tangail,0.0,5127.193459504587,9159.104648112514,16533.420916907246,19983.302137793802,25161.636556213823,34632.98004070147,40459.2968138864,117474.27787527975,3590.8931933723306
Dhaka,0.0,1643.4496410959362,2598.1286347680616,2737.232885215786,3129.7093125958786,3139.3534850903384,305846.0252229436,305951.28732291586,579493.9568055641,3206.760460550616
Faridpur,0.0,22961.654191521153,29244.02744777337,30727.175033629657,35908.171633822196,41382.483771394276,49252.89726002526,61518.90135868048,70793.39195618748,10268.65163853079
Gazipur,0.0,0.0,0.0,0.0,0.0,0.0,66357.93536122757,69938.37928533737,156953.36345201626,562.2618634676014
Gopalganj,0.0,0.0,0.0,252.9427657672681,2730.624583466333,5309.207919089329,11142.526251304402,13453.890072648148,16793.70390914335,206.09387055056794
Kishoreganj,0.0,0.0,5512.230127595514,22988.02748182396,30210.68064074049,66508.77436491252,78636.24576551847,91073.97175921446,121464.00663885867,3358.202401715806
Madaripur,0.0,21992.228453465472,25089.230801140937,42598.57509501657,51699.811204327736,62775.734081883566,84605.16487049402,106739.72776654571,129477.86201687682,10954.443316545186
Manikganj,0.0,10919.535132838582,13862.556587059158,16038.275865178482,18955.811459720902,20771.201643305725,22283.692896597953,24714.218307534837,27552.161291402706,4964.637335001112
Munshiganj,0.0,17173.308593303234,23741.96616992486,49779.11052442397,58007.14083368864,58976.15129654882,62708.38572263978,66071.93008455119,69795.25589472124,10002.699745223737
Satkhira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
