admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,0.0,0.0,0.0,0.0,8.330751541811377,8.330751541811377,9.359913490623065,9.359913490623065,9.359913490623065,0.3154419406887028
Barisal,0.0,0.0,30670.639934624625,41745.50894125432,66991.40811415402,70957.24859690169,75980.3031074277,84298.2614490213,92193.38544880526,7350.996120141292
Bhola,0.0,0.0,17370.9624387886,22070.547783161946,45325.74340539482,49842.036874158046,53825.9177871543,53825.9177871543,54753.22945856274,4402.562128236303
Jhalokati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.8112466963157,1.0608112466963158
Patuakhali,0.0,0.0,1438.531452451365,1809.4243832579716,19673.84723738323,19673.84723738323,24117.34519634928,24117.34519634928,25584.18241689352,976.7337912919415
Pirojpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noakhali,0.0,0.0,0.0,3906.7315810938107,6004.616750504952,11987.46898197518,15864.748001996813,17684.10176477555,21046.842030688313,516.1103256418301
Rangamati,0.0,60799.23908068294,82317.94264429976,133038.65056449038,143068.31400356864,153235.5641886878,168261.73212049357,181234.18006759643,188149.543838739,31330.57485756034
Bandarban,0.0,0.0,0.0,3844.100875544062,4569.533609296568,5577.830647477108,5775.676150888156,7703.755304795149,26140.20716191643,365.58343605752424
Brahamanbaria,0.0,75186.32844622154,146341.34184284715,207352.00479807498,265666.25332119147,325563.38451003266,413567.700120604,480129.9843877553,544168.361780635,49693.13810801474
Chandpur,0.0,33947.03124411228,59334.61550557592,71386.9408156105,82537.52398088724,86000.23039076764,92265.53990354549,104628.76083176812,118057.44836382655,18785.47534517144
Chittagong,0.0,466802.2656461817,640095.6697429061,980489.9609276134,1091111.7861583137,1577807.6105200832,1828189.8056211593,1957665.781328999,2094932.7991560919,247512.95395329734
Comilla,0.0,22883.706852954692,34030.86021770936,99867.64163547252,107937.61344493614,157945.83229819045,200417.66645150477,234321.68151677007,249359.19299763552,17232.416871498597
Cox'S Bazar,0.0,0.0,0.0,983.3894764363783,983.3894764363783,1251.586894284162,1251.586894284162,11430.924437758167,202675.40512739503,302.06283910907234
Feni,0.0,0.0,0.0,0.0,0.0,176864.1686775471,234770.07165840984,245307.08039961397,257008.76234392895,3455.3448965522675
Khagrachhari,0.0,45155.24278823158,62677.361256048905,97728.77250964435,100018.29771548569,103442.70871047344,106557.9167943043,109167.43682312482,111093.41935730758,22998.388585232206
Lakshmipur,0.0,0.0,1855.3932138645541,2328.095819056986,3685.545218411869,3685.545218411869,3685.545218411869,3685.545218411869,3685.545218411869,415.028327229974
Narayanganj,0.0,3776.048188066947,10981.723491696073,296973.8914912074,348033.7708869303,496470.4382385136,539796.2822741858,585147.603762148,667954.8524176502,29655.152635593724
Narsingdi,0.0,35050.24080709515,57651.797291759685,139821.16012352385,164569.10904860962,220367.75503875042,278099.99247334193,306278.9240750047,358261.35611205874,25946.353201051086
Rajbari,0.0,1345.801135288846,3997.6866408233764,15615.48203338843,25849.631485902624,35501.14967021782,46781.255209774696,52551.06318179255,60783.873790545076,2518.5633198891037
Shariatpur,0.0,31754.300224293034,36025.75719286355,38471.808095544926,41793.13874584249,43135.06099080297,46637.173644476956,50333.83755620791,53296.87816889562,13100.03472065086
Tangail,0.0,8883.693804123806,16575.75001539955,27347.858234571268,32454.88939809546,116808.0783177746,143207.09123964142,176415.6242820648,197981.9009409953,7469.048177350914
