admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Barguna,0.0,0.0,0.0,0.0,0.0,8.330751541811377,8.330751541811377,9.359913490623065,9.359913490623065,0.14471026205722848
Barisal,0.0,0.0,0.0,40573.35343229274,42270.92422306688,45061.38361548654,70500.72980568712,73039.909625722,84138.05884602772,3431.187255228133
Bhola,0.0,0.0,0.0,22070.547783161946,22070.547783161946,32436.14141454598,48269.8611565132,51048.34907912977,53825.9177871543,1997.5963417066434
Jhalokati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patuakhali,0.0,0.0,0.0,1809.4243832579716,1809.4243832579716,18624.062460216654,19553.49909895923,23996.997057925273,24117.34519634928,445.1314233056816
Pirojpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noakhali,0.0,0.0,0.0,0.0,0.0,3906.7315810938107,9996.084400308813,11987.46898197518,15414.805473140219,118.44139684926394
Rangamati,0.0,0.0,77011.32529201625,84789.81543406345,130892.91097025151,147470.33960892566,161465.43980173755,174500.89941735007,182510.5391592564,16362.660859259358
Bandarban,0.0,0.0,0.0,0.0,3844.100875544062,4569.533609296568,5577.830647477108,7108.231285848432,7957.330012545428,167.06246877799765
Brahamanbaria,0.0,65419.97213734437,91007.33798059479,170246.6313467752,210052.4260252495,259292.6894493491,350007.58298262145,406541.4422615607,455011.9613299944,38456.69407218145
Chandpur,0.0,29682.050330585716,45275.15784274446,64376.19326417614,64664.49567745451,73223.81853036722,86427.619244514,91513.82734047287,106097.26426970793,15699.337075740108
Chittagong,0.0,424142.5842897701,530873.5127062177,751030.2046028196,1015186.706487952,1149656.7294097843,1645280.3171917656,1738390.9630350089,1939976.325202891,211755.25725658546
Comilla,0.0,21598.64959572133,32688.98216785684,34067.81561577476,34139.17262252699,103472.38057590723,156723.1749611594,167854.5791427404,198564.4306134924,11830.014307514164
Cox'S Bazar,0.0,0.0,0.0,0.0,983.3894764363783,983.3894764363783,1251.586894284162,1251.586894284162,1251.586894284162,38.26279255308049
Feni,0.0,0.0,0.0,0.0,0.0,0.0,176864.1686775471,180695.09480454485,190602.97952792206,1259.4498438472003
Khagrachhari,0.0,0.0,58234.56492470173,62334.1227443607,94204.891227993,99740.09496939194,105085.83583959345,106553.69044080291,109244.93132356947,11941.01583206193
Lakshmipur,0.0,0.0,0.0,2328.095819056986,2328.095819056986,2328.095819056986,3536.1712184118996,3536.1712184118996,3685.545218411869,187.86927986287228
Narayanganj,0.0,3566.081648224241,3566.081648224241,14673.929350809605,15639.178975928138,332583.3342398057,405975.2730732721,521390.3091251515,563372.7096959463,8525.453010655614
Narsingdi,0.0,32169.421089538966,38424.957093755416,70403.33075855533,89653.94363386903,158627.0505651486,207255.97992691345,266290.1503660908,298399.2843366127,18131.866040730867
Rajbari,0.0,1318.09272190794,3423.65675071628,10128.185601574412,21150.502913689237,28095.218835189415,41989.70062732095,48091.65645713155,52611.30193969239,2031.8273075051104
Shariatpur,0.0,20199.134179732344,32610.873922290317,37822.780306442,38634.80812670315,39403.7859458941,43976.72513999393,46656.9920595452,50487.3857352095,10300.26773284046
Tangail,0.0,7239.591937935203,13442.636572600064,22570.597815710986,28046.387199387285,36341.53614372153,115770.29650880552,139459.16488022328,153956.48273769897,5515.305061433815
Dhaka,0.0,2088.0802639985077,3668.8591836577843,4105.110452294347,4542.387719069072,307019.5741901778,571960.6834699969,684306.0426609736,693699.9791898901,8459.904683932238
Faridpur,0.0,27205.870172935713,41956.6034402574,47907.350395482434,52800.06447640625,59939.01528465508,74162.14563432764,87120.33928816662,107545.14584188665,13786.954243762386
Gazipur,0.0,0.0,0.0,0.0,0.0,67627.8566076785,155286.21605801964,179123.38950988,186428.8643055635,1842.0990736341873
Gopalganj,0.0,0.0,0.0,1099.1287819317622,3062.31735701241,8341.762419705756,13440.00400203172,16268.804936149165,20537.5362823581,295.4642847773595
